"dien_tich","gia","dia_chi","huong","link_source","lon","lat"
"Di<U+1EC7>n tích: 50 m2","Giá: 560 tri<U+1EC7>u ","Ðu<U+1EDD>ng Xuân Ð<U+1EC9>nh, Phu<U+1EDD>ng Xuân Ð<U+1EC9>nh, Qu<U+1EAD>n B<U+1EAF>c T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 105 m2","Giá: 2,52 t<U+1EF7> ","Ðu<U+1EDD>ng T<U+1ED1> H<U+1EEF>u, Phu<U+1EDD>ng Trung Van, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 47 m2","Giá: 650 tri<U+1EC7>u ","Ðu<U+1EDD>ng Xuân Ð<U+1EC9>nh, Phu<U+1EDD>ng Xuân Ð<U+1EC9>nh, Qu<U+1EAD>n B<U+1EAF>c T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 42 m2","Giá: 790 tri<U+1EC7>u ","Ðu<U+1EDD>ng Xuân Ð<U+1EC9>nh, Phu<U+1EDD>ng Xuân Ð<U+1EC9>nh, Qu<U+1EAD>n B<U+1EAF>c T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",105.7858997,21.0656792
"Di<U+1EC7>n tích: 87 m2","Giá: 1,826 t<U+1EF7> ","Ðu<U+1EDD>ng Qu<U+1ED1>c l<U+1ED9> 6, Phu<U+1EDD>ng M<U+1ED9> Lao, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 43 m2","Giá: 1,02 t<U+1EF7> ","Ðu<U+1EDD>ng Nguy<U+1EC5>n Van C<U+1EEB>, Phu<U+1EDD>ng B<U+1ED3> Ð<U+1EC1>, Qu<U+1EAD>n Long Biên, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 50 m2","Giá: 700 tri<U+1EC7>u ","Ðu<U+1EDD>ng Nguy<U+1EC5>n Van C<U+1EEB>, Phu<U+1EDD>ng B<U+1ED3> Ð<U+1EC1>, Qu<U+1EAD>n Long Biên, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",105.8721945,21.043669
"Di<U+1EC7>n tích: 45 m2","Giá: 15 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Tru<U+1EDD>ng Chinh, Qu<U+1EAD>n Ð<U+1ED1>ng Ða, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 47 m2","Giá: 14 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Gi<U+1EA3>i Phóng, Phu<U+1EDD>ng Minh Khai, Qu<U+1EAD>n Hai Bà Trung, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Tây Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 78 m2","Giá: 1,73 t<U+1EF7> ","Phu<U+1EDD>ng Phúc L<U+1EE3>i, Qu<U+1EAD>n Long Biên, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",105.9259271,21.0437208
"Di<U+1EC7>n tích: 60 m2","Giá: 1,7 t<U+1EF7> ","Ðu<U+1EDD>ng Tr<U+1EA7>n H<U+1EEF>u D<U+1EF1>c, Phu<U+1EDD>ng C<U+1EA7>u Di<U+1EC5>n, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 57 m2","Giá: 1,15 t<U+1EF7> ","Qu<U+1ED1>c l<U+1ED9> 70, Phu<U+1EDD>ng Phuong Canh, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 62 m2","Giá: 1,08 t<U+1EF7> ","Ðu<U+1EDD>ng T<U+1ED1> H<U+1EEF>u, Phu<U+1EDD>ng Duong N<U+1ED9>i, Qu<U+1EAD>n Hà Ðông, Hà N<U+1ED9>i","Hu<U+1EDB>ng: _","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 86 m2","Giá: 27 tri<U+1EC7>u / m2  ","Ðu<U+1EDD>ng Nguy<U+1EC5>n Hoàng, Phu<U+1EDD>ng M<U+1EF9> Ðình 2, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
"Di<U+1EC7>n tích: 70 m2","Giá: 1,9 t<U+1EF7> ","Ðu<U+1EDD>ng Nguy<U+1EC5>n Hoàng, Phu<U+1EDD>ng M<U+1EF9> Ðình 1, Qu<U+1EAD>n Nam T<U+1EEB> Liêm, Hà N<U+1ED9>i","Hu<U+1EDB>ng: Ðông Nam","https://alonhadat.com.vn/nha-dat/can-ban/can-ho-chung-cu/1/ha-noi/trang--1.html#",NA,NA
